Title,Alternative Title,Period,Area,Home Institution,Editor,Language,Category,URL,Access,Description,Last Modified,Contact
Bibliography of Taiwan Ethnographies,,modern,Taiwan,"Kerim Friedman, Brendan Galipeau, J.B. Klich, Eliana Ritts","Kerim Friedman, Brendan Galipeau, J.B. Klich, Eliana Ritts",English,"curated collection,bibliography",https://fulaoshi.notion.site/Bibliography-of-Taiwan-Ethnographies-64c918c98a4444618e2c66fce8e39c1b,open access,"This page aims to list every book based (in whole or part) on ethnographic research in Taiwan. It is an ongoing project so please check back regularly. The data is drawn from a public Zotero group library (https://www.zotero.org/groups/4456737/ethnographies_of_taiwan/items/CSSFUWPC/library). (The Zotero version will always be more up-to-date than this page.) Currently the bibliography is limited to English language texts, but that may change later on.",12/14/2023 2:19pm,
Bodies and Structures: Deep-mapping Modern East Asian History,,modern,"East Asia,Japan,China,Taiwan","David Ambaras (NC State University), Kate McDonald (UC Santa Barbara)","David Ambaras (NC State University), Kate McDonald (UC Santa Barbara)",English,"institute/organization,research project,pedagogy,visual tools,maps/mapping",https://bodiesandstructures.org/,open access,"Bodies and Structures is a platform for researching and teaching spatial histories of East Asia and the larger worlds of which they were a part. Built using the open-source platform Scalar, the site combines individually-authored, media-rich content modules with conceptual maps and visualizations, which reveal thematic, historical, and geographic connections between the modules.",12/14/2023 2:19pm,
Buddhist Digital Resource Center,,"premodern,modern","China,East Asia,Mongolia,Asia",Buddhist Digital Resource Center (BDRC; formerly Tibetan Buddhist Resource Center),Buddhist Digital Resource Center (BDRC; formerly Tibetan Buddhist Resource Center),English,"database,OCR,institute/organization,data set/statistics",https://www.tbrc.org/,partial open access,"The Buddhist Digital Resource Center is a nonprofit organization dedicated to archiving and disseminating Buddhist texts from Tibet, China, Mongolia, Nepal and Southeast Asia. ",12/14/2023 2:19pm,
Buddhist Studies Authority Database Project,,"premodern,modern",East Asia,Dharma Drum Institute of Liberal Arts,Dharma Drum Institute of Liberal Arts,English,"database,dictionary,data set/statistics",https://authority.dila.edu.tw/,open access,"These databases integrate information from various projects at the Library and Information Center at Dharma Drum Institute of Liberal Arts. By providing information on Chinese calendar dates, as well as an onomasticon of person, place names and Tripitaka catalogues from Buddhist sources they help with disambiguation and geo-spatial referencing of names and dates.",12/14/2023 2:19pm,
Catalog Database of Republican Era Buddhist Journals,,modern,China,Marcus Bingenheimer,Marcus Bingenheimer,English,"curated collection,archive,database,data set/statistics",http://buddhistinformatics.dila.edu.tw/minguofojiaoqikan/,open access,"This database contains records for over 140,000 articles published in Chinese Buddhist Journals of the Republican Era (1911-1949). These are all articles collected in the Minguo fojiao qikan wenxian jicheng 民國佛教期刊文獻集成, (Complete Collection of Republican-Era Buddhist Periodical Literature) (MFQ), and its supplement the Minguo fojiao qikan wenxian jicheng bubian 民國佛教期刊��獻集成．補編, (MFQB). Both MFQ and MFQB were compiled under the leadership of Huang Xianian 黃夏年 and published in 2006 and 2007 respectively.

The database was constructed from 2007 to 2009. For the first time it is possible to search titles and author names within certain journals. From the interface it is possible to search for certain genres (prefaces, poetry, advertisement etc.), which are again divided in sub-genres. While we have decided the naming of the 15 main genres, most sub-genre titles are used in the journals themselves.",12/14/2023 2:19pm,
Chater Collection,,modern,China,University of Hong Kong Library,University of Hong Kong Library,English,"archive,database,curated collection",https://digitalrepository.lib.hku.hk/collection/gm80jn474,open access,"Bequeathed by Sir Paul Chater to Hong Kong after the 80-year-old philanthropist passed away in 1926, the Chater Collection is renowned for its oil paintings, watercolours, sketches, prints and photographs. Yet, the Collection also included a library of 54 rare books related to China, which Sir Cecil Clementi, Governor of Hong Kong from 1925 to 1930, presented to the University of Hong Kong in 1927. Most Chater books are nineteenth century titles and some of them have excellent illustrations. Selected titles from Chater Collection have been digitized for public access.",12/14/2023 2:19pm,
China and Africa,,modern,China,Woodrow Wilson International Center for Scholars,Woodrow Wilson International Center for Scholars,English,"database,archive,curated collection,visual tools",https://digitalarchive.wilsoncenter.org/topics/china-and-africa,open access," This collection highlights China's relations with countries in Africa during the Mao period, particularly in the 1960s. The collection features Chinese documents on economic and cultural relations with several countries in Africa, as well as meetings and leadership exchanges. See also the collection: China's Foreign Aid.",12/14/2023 2:19pm,
China and Far East Through Western Eyes,,modern,"China,East Asia,Asia",University of Hong Kong,University of Hong Kong,English,"archive,curated collection,visual tools,database",https://digitalrepository.lib.hku.hk/ctwe,open access,"China and Far East Through Western Eyes provides open access to full text historical books from HKUL’s rare collections. The strength of this collection is China studies including multidisciplinary work, spanning history, culture and custom, religion, philosophy, geography, politics, literature, arts and sciences. These materials were chiefly accounts of Western foreigners and Jesuit missionaries who experienced China in the eighteenth-century to the early twentieth century, written mainly in English, but also French, German, Dutch, and Portuguese. This collection also includes some historical publications relating to other Asian countries like Japan, Korea and Indochina, where these places were also points of interests along Westerners’ travel route to China in the nineteenth century.",12/14/2023 2:19pm,
"China and the Modern World: Diplomacy and Political Secrets, 1869–1950",,"premodern,modern","China,East Asia",Gale Primary Source,Gale Primary Source,English,archive,https://www.gale.com/c/china-and-the-modern-world-diplomacy-and-political-secrets,not open access,"Diplomacy and Political Secrets comprises a compilation of 4,204 rare China-related historical documents carefully selected from three series within the India Office Records now held at the British Library: the Political and Secret Department Records, the Burma Office records, and the Records of the Military Department.  These documents consist of manuscripts and monographs in the form of reports, memoranda, correspondence, pamphlets and official publications, intelligence diaries, accounts of political and scientific expeditions, travel diaries, handbooks, and maps. Together they reflect the security concerns of British India. The frontier regions of China bordering British India were considered of strategic importance. This is why a large amount of material coming from Xinjiang (Chinese Turkestan), Tibet, and Yunnan was collected by the Political and Secret Department of the India Office, Military Department, and the Burma Office.

These records also exhibit the British India Office’s interest in China’s developments in various aspects after 1910, and the cooperation between China and Britain during WWII. Included also are official accounts of border disputes and negotiations involving China, India, Britain, Tibet, Xinjiang, Burma, Russia (later Soviet Union), Pakistan, and some other Central Asian countries. Military operations such as those during the Boxer Rebellion are also covered.",12/14/2023 2:19pm,
"CHINA AND THE MODERN WORLD: Hong Kong, Britain and China, 1841–1951",,"premodern,modern","China,Hong Kong",Gale Primary Source,Gale Primary Source,English,"archive,database",https://www.gale.com/c/china-and-the-modern-world-hongkong-britain-china,not open access,"This collection of British Colonial office correspondence relates to Hong Kong as a British colony between 1841 and 1951, and provides detailed information on the political, military, social, economic, and external development of Hong Kong. It also sheds light on the British Empire in Asia, China’s transformation from empire to republic, mainland China-Hong Kong relations, and the international politics of East Asia.

The hand-written material included in the collection will have Handwritten Text Recognition (HTR) applied, making it one of the first Gale Primary Source archives to do so from scratch. HTR allows handwritten documents to be full-text searchable, just as Optical Character Recognition (OCR) allows printed books, newspapers, and other works to be searched. This enables unexpected discoveries not possible from traditional finding aids. This technology makes the documents in this collection more accessible to those without palaeography skills and enables powerful inclusion in digital humanities/ scholarship projects.",12/14/2023 2:19pm,
"CHINA AND THE MODERN WORLD: Imperial China and the West Part I, 1815–1881",,"premodern,modern","China,East Asia",Gale Primary source,Gale Primary source,English,"archive,database",https://www.gale.com/c/china-and-the-modern-world-imperial-china-part-i,not open access,"In this, the first of two parts of British Foreign Office correspondence from China, scholars will find material relating to the internal politics of China and Britain, their relationship, and the relationships between other Western powers keen to benefit from the growing trading ports of the Far East.
From Lord Amherst’s mission at the start of the nineteenth century, through the trading monopoly of the Canton System, and the Opium Wars of 1839-42 and 1856-60, Britain and other foreign powers gradually gained commercial, legal and territorial rights in China. These files provide correspondence from the Factories of Canton (modern Guangzhou) and from the missionaries and interpreters who entered China in the early nineteenth century, as well as from the later Consulates and Legation and from the envoys and missions sent to China from Britain.",12/14/2023 2:19pm,
"CHINA AND THE MODERN WORLD: Imperial China and the West Part II, 1865–1905",,"premodern,modern","China,East Asia,Asia",Gale Primary Source ,Gale Primary Source ,English,"archive,database",https://www.gale.com/c/china-and-the-modern-world-imperial-china-part-ii,not open access,"Covering the second half of the nineteenth century, China and the Modern World: Imperial China and the West Part II completes the Foreign Office series of general correspondence relating to China (FO 17) and offers an unparalleled level of insight into Anglo-Chinese relations; the roles of China, Britain, and other Western powers in the wider Asian context; and the beginning of the end of China’s final imperial dynasty, the Qing.

As the Western powers competed to extend their influence in China, building railways and mines, providing ships and weapons, and granting loans to the Chinese government while conducting hugely profitable trade from the busy ports of Canton, Shanghai, Amoy, Ningpo, Chefoo, and more, the Qing dynasty faced internal and external challenges to their position as a great power in Asia.",12/14/2023 2:19pm,
"China and the Modern World: Missionary, Sinology and Literary Periodicals ",,premodern,China,Gale Primary Sources,Gale Primary Sources,English,database,https://www.gale.com/c/china-and-the-modern-world-missionary-sinology-and-literary-periodicals,not open access,"China and the Modern World: Missionary, Sinology, and Literary Periodicals, 1817–1949 is a collection of seventeen English-language periodicals published in or about China during a period of over 130 years extending from 1817 until 1949, when the People’s Republic of China was founded. This corresponds to the periods of the late Qing Dynasty and the Republican Era (1911-1949), when China experienced radical and often traumatic transformations from an inward-looking imperial dynasty into a globally engaged republic with modern approaches to politics, literature, education, public morality, and intellectual life.",12/14/2023 2:19pm,
"China and the Modern World: Records of the Maritime Customs Service of China, 1854–1949",,"premodern,modern",China,Gale Primary source,Gale Primary source,English,archive,https://www.gale.com/c/china-and-the-modern-world-maritime-customs,not open access,"China and the Modern World: Records of the Maritime Customs Service of China,1854–1949 provides an excellent primary source collection, mainly in English, for the study of China and its relations with the Imperial West in the late Qing and Republican periods. The records included in this collection—official correspondence, despatches, reports, memoranda, and private and confidential letters—constitute invaluable and often unique evidence of Chinese life, the economy, and politics through the Taiping Rebellion, the Boxer Rebellion, the Revolution of 1911, the May 30 Movement, the two Sino-Japanese Wars, and the Chinese Civil War.",12/14/2023 2:19pm,
China Families,,modern,China,University of Bristol,University of Bristol,English,"archive,database,curated collection",https://www.chinafamilies.net/,open access,"This site allows you to search across 60,000 names of men and women who lived, worked or died in China, between the 1850s and 1940s. There are many Chinese names here, as well as the names of foreign residents. The aim of this site is to unlock information held in archives and libraries that can assist people to trace the lives of ancestors in China.",12/14/2023 2:19pm,
China Historical Christian Database,,"premodern,modern",China,Boston University,Boston University,English,"visual tools,maps/mapping,curated collection,network analysis,data set/statistics",https://chcdatabase.com/,open access,"The China Historical Christian Database (CHCD) quantifies and visualizes the place of Christianity in modern China (1550-1950). It provides users the tools to discover where every Christian church, school, hospital, orphanage, publishing house, and the like were located in China, and it documents who worked inside those buildings, both foreign and Chinese. Collectively, this information creates spatial maps and generates relational networks that reveal where, when, and how Western ideas, technologies, and practices entered China. Simultaneously, it uncovers how and through whom Chinese ideas, technologies, and practices were conveyed to the West.

This project breaks new ground in providing quantifiable data about modern Sino-Western relations. Its intuitive interface generates visualizations, lists, and maps for use by the general public, students and teachers in secondary education and colleges, in the US and globally, with English and Chinese navigation. Advanced DH users have open access to its data for elaboration. BU’s digital infrastructure guarantees long-term sustainability, and CHCD’s international collaborations in the USA, Asia, and Europe help promote historical understanding between China and the rest of the world.",12/14/2023 2:19pm,
China Historical GIS,,premodern,"China,Tibet,Mongolia",Harvard University,,English,maps/mapping,https://chgis.fairbank.fas.harvard.edu,open access,"The China Historical Geographic Information System, CHGIS, project was launched in January 2001 to establish a database of populated places and historical administrative units for the period of Chinese history between 221 BCE and 1911 CE.
CHGIS provides a base GIS platform for researchers to use in spatial analysis, temporal statistical modeling, and representation of selected historical units as digital maps. The main objective of the CHGIS project is to create a flexible tool, in the form of a documented database of places and adminstrative units, which can be used to investigate any sort of geographically specific data related to China. The unique ID numbers for each of the CHGIS temporal instance records can be used as geocodes in relational databases, or to mark up texts, enabling users to import their own datasets into the CHGIS platform. Users will be able to associate their own data with CHGIS records, and then use the CHGIS database to sort, query, and display their data for different historical periods and at different levels of aggregation.",12/14/2023 2:19pm,
China Society of Southern California Collection,,modern,China,University of Southern California,University of Southern California,English,"archive,database",https://digitallibrary.usc.edu/Archive/East-Asian-Languages-and-Cultures-2A3BF1OZQS5?Flat=1#,open access,"Minutes, programs and other documents of this organization that has brought together residents of Southern California who have or have had significant connection to China since 1935.",12/14/2023 2:19pm,
China Visual Arts Project Archive,,modern,"China,Hong Kong",University of Westminster,University of Westminster,English,"curated collection,archive,visual tools",https://westminster-atom.arkivum.net/index.php/cpc,open access,"The China Visual Arts Project comprises 843 posters acquired from Hong Kong and mainland China, dating from the 1940s to the 1980s, alongside a wealth of books, objects and ephemera that are intended to be teaching aids for Chinese language, history, and politics.",12/14/2023 2:19pm,
China Visual Arts Project Archive,,modern,China,University of Westminster Archive,University of Westminster Archive,English,archive,https://westminster-atom.arkivum.net/,open access,"Over 800 propaganda posters from China c1940-1985 available digitally, with slides, books, objects and ephemera to be added at a later date.",12/14/2023 2:19pm,
"China, America and the Pacific",,modern,China, Adam Matthew Digital, Adam Matthew Digital,English,"archive,curated collection,visual tools",https://www.amdigital.co.uk/primary-sources/china-america-and-the-pacific,not open access,"Covering the 18th and 19th centuries, China, America and the Pacific provides primary source materials for the study of the history of North American trade and cultural exchange with China. This collection also provides coverage of China’s economic dealings with the whole of East Asia and the Pacific. Includes manuscript sources, rare printed texts, visual images, objects and maps.",12/14/2023 2:19pm,
"China, Art, and Cultural Diplomacy",,"premodern,modern",China,Canterbury Museum,Canterbury Museum,English,"archive,curated collection,visual tools",http://www.rewialleyart.nz/,open access,"This website features all the objects in Canterbury Museum's Rewi Alley Collection. There are two ways to browse the objects in the Collection through this site.

All objects have been placed in one of twelve exhibits. Some of these exhibits are based on material (Jade, Ceramic, Bronze, etc), others on type (Snuff bottles, Currency). There is also a Rewi Alley exhibit, featuring objects with a personal connection to Alley, and a Gifts and Exchanges exhibit, which includes objects which came to Canterbury Museum through exchanges and gifts connected with Alley and the formation of the Rewi Alley Collection. In addition, from time to time distinguished scholars are invited to curate a Special Exhibition.",12/14/2023 2:19pm,
China: Culture and Society,,modern,China,"Adam Matthew Digital, Cornell University","Adam Matthew Digital, Cornell University",English,"archive,curated collection,visual tools",https://www.amdigital.co.uk/primary-sources/china-culture-and-society,not open access,"Spanning three centuries (c1750-1929), this resource makes available for the first time extremely rare pamphlets from Cornell University Library’s Charles W. Wason Collection on East Asia. The resource is full-text searchable, allowing for the collection to be comprehensively explored and studied.",12/14/2023 2:19pm,
"China: Trade, Politics & Culture",,"premodern,modern",China,"Adam Matthew Digital, The British Library","Adam Matthew Digital, The British Library",English,"archive,curated collection,visual tools",https://www.amdigital.co.uk/primary-sources/china-trade-politics-and-culture-1793-1980,not open access,"This digital collection answers the need for clear, intelligible and informative English-language sources relating to China and the West, which can be used in the classroom. It would also benefit independent projects on any aspect of Chinese history during the country's monumental social and political upheaval. With documents encompassing events from the earliest English embassy to the birth and early years of the People’s Republic, this resource collects sources from nine archives",12/14/2023 2:19pm,
ChinaMap,,"modern,premodern",China,Harvard University,Harvard University,English,"maps/mapping,visual tools",http://worldmap.harvard.edu/chinamap/,open access,The Harvard ChinaMap project visualizes a huge variety and volume of modern and premodern historical and statistical data sets to create map overlays.,12/14/2023 2:19pm,
ChinaX Map,,"premodern,modern",China,Harvard University,Harvard University,English,"visual tools,maps/mapping",https://worldmap.harvard.edu/maps/chinaX,open access,"chinaXmap provides the basic historical map layers for all periods in China's history covered by ChinaX (SW12x), the HarvardX version of the historical survey taught by Professors Peter Bol and William Kirby, with interviews with contributions from many of Harvard's China studies faculty.

WorldMap is an open source web mapping system that is constantly in the process of further development. it is built to assist academic research and teaching as well as the general public and supports discovery, investigation, analysis, visualization, communication and archiving of multi-disciplinary, multi-source and multi-format data, organized spatially and temporally.",12/14/2023 2:19pm,
Chinese Civilization in Time and Space,,"premodern,modern",China,Academia Sinica,Academia Sinica,English,"archive,curated collection,maps/mapping,data set/statistics",http://ccts.ascc.net/,open access,"In response of the demands of interdisciplinary research applications, this system aims to construct an integrated GIS-based application infrastructure within the spatial extent of China, in the timeframe of Chinese history, and with the contents of Chinese civilization. Although target users are primarily scholars, academic experts, and school teachers, it is also our goal to provide general spatial- and temporal-based applications This, we hope, will establish a feedback mechanism of continuously collecting research and application results to fertilize the contents of this system and elaborate the value of information integration

This system consists of three major components: basic geospatial materials, WebGIS integrated application environment, and thematic information. The fundamental base maps are based on Dr. Tan's ""The Historical Atlas of China"". ""The Historical Atlas of China"" provides users with Chinese historical features, covering Chinese history over the past 2000 years, from the ancient time to Qing dynasty. Furthermore, various historical atlas and remote sensing imagery are persistently geo-referenced and overlaid into the system to broaden the spatial and temporal scope.",12/14/2023 2:19pm,
Chinese Foreign Policy Database,,modern,China,"History and Public Policy Program, Woodrow Wilson International Center for Scholars","History and Public Policy Program, Woodrow Wilson International Center for Scholars",English,"archive,curated collection",http://digitalarchive.wilsoncenter.org/theme/chinese-foreign-policy-database,open access,"The Chinese Foreign Policy Database curates 1000s of documents from Chinese and international archives, offering insights into China’s foreign policy since 1949 and its relationship to ideology, revolution, the economy, and traditional Chinese culture.",12/14/2023 2:19pm,
"Chinese Historical Society of Southern California Collection, ca. 1880-1933",,,China,Chinese Historical Society of Southern California / University of Southern California,Chinese Historical Society of Southern California / University of Southern California,English,archive,https://digitallibrary.usc.edu/Archive/Chinese-Historical-Society-of-Southern-California-Collection--ca--1880-1933-2A3BF1NYKB?Flat=1,open access,Photographs of artifacts found during the excavation for the building of Los Angeles Union Station.,12/14/2023 2:19pm,
Chinese Immigrants in Cuba: Documents from the James and Ana Melikian Collection,,modern,China,Arizona State University,Arizona State University,English,"archive,database,curated collection,visual tools",https://repository.asu.edu/collections/170,open access,"The Chinese Immigrants in Cuba collection includes hundreds of original documents, manuscripts and photos covering the migration of 125,000 Chinese who signed up to be cheap labor in Cuba from 1847 until the later 1890s. The archive continues until the 1970s and records the Chinese community in Cuba and is rich with photos. This massive collection, from the archive of James and Ana Melikian Collection, is probably the largest one in private hands concerning Chinese in Cuba. At present the collection contains over 1341 records and about 8,000-9,000 pages.",12/14/2023 2:19pm,
Chinese Maritime Customs project,,modern,China,University of Bristol,University of Bristol,English,"archive,curated collection,bibliography,data set/statistics,visual tools",http://www.bristol.ac.uk/history/customs/,open access,"Chinese Maritime Customs project features a compilation of resources, including bibliographies, photographs, publications, datasets, and other materials related to the Chinese Maritime Customs Service. It is intended to further historical understandings of the modern Chinese state, British imperial history, and the history of modern globalization in China.",12/14/2023 2:19pm,
Chinese Pamphlet Digitization Project,,modern,China,Center for Research Libraries,Center for Research Libraries,English,"curated collection,archive,database,visual tools",https://dds.crl.edu/search/collection/1,open access,"Political Communications and Mass Education in China in the Early Years of the People’s Republic: The holdings at the Center for Research Libraries are especially rich in primary documents of political communications. The pamphlets, reports, newspapers, and other kinds of printed materials held by CRL chronicle the activities of political figures, parties and organizations around the globe. Such documents are vital source materials for history and area studies, but tend to be produced erratically and disappear quickly.

The Hunter Collection consists of mass education materials published in Hong Kong and in Mainland China, particularly Shanghai, in the years 1947-1954. These include approximately 200 cartoon books, pamphlets, postcards, and magazines, heavily pictorial in content, on such topics as foreign threats to Chinese security, Chinese relations with the Soviet Union, industrial and agricultural production, and marriage reform. The materials were produced by both Kuomintang (Chinese Nationalist) and Communist regimes, and appear to be directed at the general youth and adult populations of China.",12/14/2023 2:19pm,
Chinese Papercut Poster Collection,,modern,China,Queen's University Library,Queen's University Library,English,"archive,curated collection,visual tools",https://postercollection.omeka.net/collections/show/1,open access,"This set of papercuts reflects the history of the Chinese revolution from the founding of the Chinese Communist Party to the establishment of People's Republic of China. This set includes the most representative events in all stages of the revolution and creating a microcosm of the history of the Chinese people seeking liberation. Among these historical events, the majority of them were also displayed in the film “The East Is Red” which is a “song and dance epic” filmed in 1965 for celebrating the 15th anniversary of the founding of the People's Republic of China.",12/14/2023 2:19pm,
Chinese Papercuts,,modern,China,University of Michigan,University of Michigan,English,"archive,curated collection,visual tools",https://quod.lib.umich.edu/c/ccs1ic,open access,"A small collection of rare propaganda papercuts from the Cultural Revolution, created in Guangdong Province.",12/14/2023 2:19pm,
Chinese Railroad Workers in North America Project,,"premodern,modern",China,Stanford University,Stanford University,English,"maps/mapping,research project",http://chineserailroadworkers.stanford.edu/,open access,"The Chinese Railroad Workers Project is a website, mapping, and visualization research project that has produced a body of scholarship based on new materials and in-depth analysis of the Chinese railroad worker experience in America. The history of the Chinese in the U.S. from the nineteenth to early twentieth century is a transnational story that should be told from both U.S. and Chinese perspectives. This project’s unprecedented international team of scholars in multiple disciplines in North America and Asia enables new research and publications on the Chinese in America from both U.S. and Chinese vantage points.",12/14/2023 2:19pm,
Chinese Shadow Figures Catalog,,"modern,premodern",China,Princeton University,Princeton University,English,"archive,curated collection,database,visual tools",https://library.princeton.edu/eastasian/shadowfigures/,open access,"The East Asian Library at Princeton has a set of over 2,000 pieces of Chinese shadow figures. Made in the Luanzhou 灤州 or Leting 樂亭 style popular in northeast China, to all appearances during the last years of the Qing dynasty (1644-1912) or the early years of the Republican Period (1912-1949), they were acquired in the late 1920s for Guion Moore Gest (1864-1948), the founder of the Gest Collection, by his purveyor Irvin Van Gorder Gillis (1875-1948), residing in Peking. The collection was photographed in 2009 and made accessible online.",12/14/2023 2:19pm,
Chinese Text Project,,premodern,China,Donald Sturgeon,Donald Sturgeon,English,"OCR,archive,database,dictionary,data set/statistics,visual tools",http://ctext.org,open access,The Chinese Text Project is the world's largest full-text digital library of pre-modern Chinese writing.,12/14/2023 2:19pm,
Chinese University of Hong Kong Chinese Rare Book Digital Collection,中國古籍庫,premodern,China,Chinese University of Hong Kong,Chinese University of Hong Kong Library,"English,Chinese","searchable catalog,rare books",https://repository.lib.cuhk.edu.hk/en/collection/chi-rarebook,open access,"The Chinese University of Hong Kong Library (CUHK Library) collects about 1,100 titles of Chinese rare books and over 6,000 titles of Chinese semi-rare books. Since this collection is one of the major collections of its kind in Hong Kong, CUHK Library has started to digitize selected titles from the Yuan Dynasty onwards in 2006 to build up this Chinese Rare Book Digital Collection, in order to facilitate online access of its full- text and to promote resource-sharing.",12/14/2023 2:20pm,
Chinese Women's Magazines in the Late Qing and Early Republican Period,,modern,China,York University; Heidelberg University; Academica Sinica,York University; Heidelberg University; Academica Sinica,English,"curated collection,archive,database,visual tools",https://uni-heidelberg.de/womag,open access,"The database not only provides online access to digital copies of the journals from cover to cover - it’s search and browsing features also offer researches access to indices of articles, illustrations, advertisements, key terms, and all types of persons. It mobilises and interrelates various bodies of data (e.g. visual and textual) within the same tableau. It enables the scholars involved in the project to create horizontal and vertical narratives and create interconnections between them. The database is of interest to scholars of cultural history and of Chinese cultural, print, literary, women's, and art history. It offers students and non-experts a window onto the Chinese historical experience that goes beyond the grand narrative of the communist revolution, reductive notions of Asian values, and orientalized images of the sick men and the obsequious and bound-footed women of China.",12/14/2023 2:19pm,
Chineseposters.net,,modern,China,Chinese Posters Foundation,Chinese Posters Foundation,English,"archive,curated collection,visual tools,database",https://chineseposters.net/index.php,open access,"An online collection of over 1,500 Chinese propaganda posters from 1925 to the present. The Gallery features 200 highlights, from the collections of the International Institute of Social History, Amsterdam, and Stefan R. Landsberger (University of Amsterdam, Leiden University).",12/14/2023 2:19pm,
